nbex; TestEnergySum; LearningEnergySum;
;;;
0;0.0;0.0;
1;0.0;0.411;
2;0.0;0.436;
3;0.0;0.416;
4;0.0;0.4;
5;0.0;0.384;
6;0.0;0.439;
7;0.0;0.423;
8;0.0;0.402;
9;0.0;0.415;
10;0.0;0.378;
11;0.0;0.392;
12;0.0;0.392;
13;0.0;0.419;
14;0.0;0.389;
15;0.0;0.367;
16;0.0;0.367;
17;0.0;0.383;
18;0.0;0.378;
19;0.0;0.323;
20;0.0;0.327;
21;0.0;0.358;
22;0.0;0.345;
23;0.0;0.366;
24;0.0;0.354;
25;0.0;0.339;
26;0.0;0.306;
27;0.0;0.317;
28;0.0;0.32;
29;0.0;0.326;
30;0.0;0.31;
31;0.0;0.308;
32;0.0;0.338;
33;0.0;0.322;
34;0.0;0.299;
35;0.0;0.295;
36;0.0;0.267;
37;0.0;0.303;
38;0.0;0.282;
39;0.0;0.258;
40;0.0;0.284;
41;0.0;0.302;
42;0.0;0.319;
43;0.0;0.3;
44;0.0;0.293;
45;0.0;0.263;
46;0.0;0.269;
47;0.0;0.286;
48;0.0;0.306;
49;0.0;0.319;
50;0.0;0.288;
51;0.0;0.264;
52;0.0;0.277;
53;0.0;0.259;
54;0.0;0.291;
55;0.0;0.294;
56;0.0;0.324;
57;0.0;0.284;
58;0.0;0.257;
59;0.0;0.286;
60;0.0;0.305;
61;0.0;0.321;
62;0.0;0.316;
63;0.0;0.301;
64;0.0;0.334;
65;0.0;0.318;
66;0.0;0.323;
67;0.0;0.368;
68;0.0;0.33;
69;0.0;0.318;
70;0.0;0.292;
71;0.0;0.33;
72;0.0;0.332;
73;0.0;0.298;
74;0.0;0.295;
75;0.0;0.288;
76;0.0;0.315;
77;0.0;0.339;
78;0.0;0.333;
79;0.0;0.324;
80;0.0;0.292;
81;0.0;0.31;
82;0.0;0.29;
83;0.0;0.33;
84;0.0;0.314;
85;0.0;0.337;
86;0.0;0.319;
87;0.0;0.333;
88;0.0;0.331;
89;0.0;0.326;
90;0.0;0.306;
91;0.0;0.323;
92;0.0;0.311;
93;0.0;0.313;
94;0.0;0.308;
95;0.0;0.325;
96;0.0;0.344;
97;0.0;0.346;
98;0.0;0.305;
99;0.0;0.289;
100;0.0;0.31;
101;0.0;0.327;
102;0.0;0.344;
103;0.0;0.368;
104;0.0;0.318;
105;0.0;0.297;
106;0.0;0.314;
107;0.0;0.306;
108;0.0;0.306;
109;0.0;0.302;
110;0.0;0.367;
111;0.0;0.286;
112;0.0;0.283;
113;0.0;0.276;
114;0.0;0.325;
115;0.0;0.33;
116;0.0;0.329;
117;0.0;0.302;
118;0.0;0.365;
119;0.0;0.315;
120;0.0;0.315;
121;0.0;0.365;
122;0.0;0.351;
123;0.0;0.33;
124;0.0;0.305;
125;0.0;0.342;
126;0.0;0.324;
127;0.0;0.306;
128;0.0;0.284;
129;0.0;0.295;
130;0.0;0.299;
131;0.0;0.335;
132;0.0;0.306;
133;0.0;0.324;
134;0.0;0.284;
135;0.0;0.291;
136;0.0;0.303;
137;0.0;0.336;
138;0.0;0.286;
139;0.0;0.336;
140;0.0;0.3;
141;0.0;0.34;
142;0.0;0.338;
143;0.0;0.325;
144;0.0;0.317;
145;0.0;0.332;
146;0.0;0.314;
147;0.0;0.32;
148;0.0;0.302;
149;0.0;0.299;
150;0.0;0.331;
151;0.0;0.326;
152;0.0;0.318;
153;0.0;0.287;
154;0.0;0.289;
155;0.0;0.313;
156;0.0;0.332;
157;0.0;0.343;
158;0.0;0.326;
159;0.0;0.293;
160;0.0;0.293;
161;0.0;0.303;
162;0.0;0.299;
163;0.0;0.287;
164;0.0;0.344;
165;0.0;0.284;
166;0.0;0.268;
167;0.0;0.267;
168;0.0;0.284;
169;0.0;0.332;
170;0.0;0.306;
171;0.0;0.289;
172;0.0;0.356;
173;0.0;0.31;
174;0.0;0.306;
175;0.0;0.33;
176;0.0;0.334;
177;0.0;0.296;
178;0.0;0.301;
179;0.0;0.298;
180;0.0;0.316;
181;0.0;0.301;
182;0.0;0.284;
183;0.0;0.284;
184;0.0;0.294;
185;0.0;0.319;
186;0.0;0.303;
187;0.0;0.306;
188;0.0;0.295;
189;0.0;0.287;
190;0.0;0.279;
191;0.0;0.325;
